seed,team,region,record,net_rtg,off_rtg,def_rtg,model_score
1,UCLA,Sacramento 4,31-1,31.5,113.8,67.9,1.0375357509442236
1,UConn,Fort Worth 1,34-0,32.1,113.2,68.5,1.0334411174108198
1,South Carolina,Sacramento 2,31-3,30.8,112.7,69.1,1.0067772989491173
1,Texas,Fort Worth 3,31-3,29.4,112.1,70.2,0.9732731813987815
2,Michigan,Fort Worth 3,25-6,24.2,114.1,75.8,0.87424178541637
2,LSU,Sacramento 4,27-5,23.9,114.3,76.2,0.868851262589403
2,Iowa,Sacramento 2,26-6,23.5,113.8,76.9,0.8524345795823784
3,Duke,Sacramento 4,24-8,22.8,113.1,76.9,0.8335966036090061
2,Vanderbilt,Fort Worth 1,27-4,22.1,113.5,77.9,0.8228616278718729
3,Louisville,Fort Worth 3,27-7,21.6,112.8,77.5,0.8101815120648995
3,TCU,Sacramento 2,29-5,21.4,112.2,77.8,0.7989186731600172
3,Ohio State,Fort Worth 1,26-7,20.9,111.4,77.8,0.7846830707005515
4,West Virginia,Fort Worth 3,27-6,19.2,110.1,78.2,0.7437375798625826
4,Oklahoma,Sacramento 2,24-7,18.7,110.8,79.2,0.7353710418963842
4,Minnesota,Sacramento 4,22-8,18.9,110.4,79.1,0.7347554848645789
4,North Carolina,Fort Worth 1,26-7,18.4,110.2,79.6,0.7219483905553613
5,Maryland,Fort Worth 1,23-8,15.7,108.1,80.6,0.6550491174301644
5,Kentucky,Fort Worth 3,23-10,15.3,108.4,80.6,0.653098386466608
5,Michigan State,Sacramento 2,22-8,14.9,108.3,80.9,0.6443742383048469
6,Baylor,Sacramento 4,24-8,14.8,107.3,80.8,0.6308875005202537
6,Notre Dame,Fort Worth 1,22-10,14.5,107.8,81.3,0.627589908238999
5,Ole Miss,Sacramento 4,23-11,14.2,107.6,81.3,0.6249847917432392
6,Alabama,Fort Worth 3,23-10,13.8,107.1,81.8,0.6072813440303324
8,Iowa State,Fort Worth 1,22-9,13.2,107.4,82.1,0.5938418705474358
6,Washington,Sacramento 2,21-10,13.2,106.4,81.9,0.5918899451989831
8,Oklahoma State,Sacramento 4,23-9,12.7,106.4,82.1,0.577598235959456
7,Georgia,Sacramento 2,22-9,12.4,105.5,81.6,0.5725605952491912
8,Oregon,Fort Worth 3,22-12,12.1,105.7,82.8,0.5566921312457537
8,Clemson,Sacramento 2,21-11,11.6,104.8,82.2,0.5469672186043839
7,Texas Tech,Sacramento 4,25-7,11.5,104.8,82.6,0.5451750532270668
7,Illinois,Fort Worth 1,21-11,11.3,104.6,82.3,0.5434429844615654
7,NC State,Fort Worth 3,20-10,10.9,103.4,83.1,0.5190790713576832
10,Colorado,Fort Worth 1,22-11,10.5,101.2,79.8,0.512983821140642
12,Colorado State,Sacramento 2,27-7,9.3,103.7,83.1,0.4866150029251439
9,Virginia Tech,Fort Worth 3,23-9,10.2,102.4,84.3,0.48307463542683365
12,Murray State,Fort Worth 1,31-3,8.9,104.2,83.5,0.4829958335018662
10,Virginia/Arizona St,Sacramento 2,24-10,9.8,101.3,82.4,0.48140591485779627
9,Syracuse,Fort Worth 1,23-8,10.8,100.3,83.1,0.4804638785766332
9,Princeton,Sacramento 4,26-3,9.4,103.1,84.4,0.4792580719169188
11,South Dakota State,Sacramento 2,27-6,8.1,104.1,84.8,0.46324272971318925
10,Villanova,Sacramento 4,25-7,9.1,101.9,84.4,0.46036279477858877
12,Gonzaga,Sacramento 4,24-9,8.3,103.8,84.9,0.45866795345152317
10,Tennessee,Fort Worth 3,16-13,8.9,100.6,84.3,0.44574831401214254
11,Rhode Island,Fort Worth 3,28-4,7.4,102.7,84.6,0.4423398765841355
11,Nebraska/Richmond,Sacramento 4,18-12,7.9,102.1,85.2,0.43700454826164964
11,Fairfield,Fort Worth 1,28-4,6.7,102.3,84.2,0.4333154193917693
9,Southern California,Sacramento 2,17-13,8.4,99.8,84.7,0.43096124096444155
12,James Madison,Fort Worth 3,26-8,7.6,101.8,85.1,0.42806453334869177
13,Miami (OH),Fort Worth 3,28-6,5.3,99.4,88.1,0.34473363824587516
13,Idaho,Sacramento 2,29-5,4.8,99.1,88.3,0.33367988081357686
13,Green Bay,Sacramento 4,25-8,4.6,98.7,88.4,0.32626330933132613
13,Western Illinois,Fort Worth 1,26-5,3.2,97.1,88.5,0.2919102076090084
14,Col. of Charleston,Sacramento 4,27-5,3.4,97.8,89.4,0.2900226508134419
14,Vermont,Fort Worth 3,27-7,2.8,97.3,89.5,0.27663928411060673
15,High Point,Fort Worth 1,27-5,2.1,96.8,89.2,0.2625666932069247
14,UC San Diego,Sacramento 2,24-8,1.9,96.2,89.5,0.2544288543020425
15,Jacksonville,Sacramento 4,24-8,1.2,95.8,90.3,0.23124998534497052
15,FDU,Sacramento 2,30-4,0.4,94.7,90.2,0.211199367972547
15,Holy Cross,Fort Worth 3,23-9,-2.1,91.2,92.3,0.12573996540826857
16,California Baptist,Sacramento 4,23-10,-4.2,92.8,93.1,0.10527169068919079
14,Howard,Fort Worth 1,26-7,-3.2,90.1,93.5,0.0931437342568345
16,UTSA,Fort Worth 1,18-15,-5.8,93.2,94.2,0.07932634420326165
16,Missouri St/SFA,Fort Worth 3,22-12,-6.1,90.8,93.6,0.05702258017620027
16,Southern U/Samford,Sacramento 2,19-13,-8.2,89.4,95.1,0.003125
